Title,Serial,Colors,Date,Location
2016 Specialized Rockhopper 29er,WSBC606136909L,"SILVER, GRAY OR BARE METAL AND RED",2019-10-23,"KITCHENER, N2G3R5, CA"
2020 Trek FX 2,WTU070C0400P,TEAL,2019-09-04,"WATERLOO, N2L 5Z5, CA"
2010 Raleigh,UNKNOWN,BROWN,2019-07-14,"KITCHENER, N2E4B3, CA"
2017 Rocky Mountain Bicycles Fusion 940,PRAJ1603062,BLACK AND BLUE,2019-06-16,"KITCHENER, N2N1Z7, CA"
2019 Trek FX 2 WSD,WTU299C1178N,BLUE,2019-06-12,"WATERLOO, N2L 3S9, CA"
2017 Kona Dew City,IN18071174,BLACK AND YELLOW OR GOLD,2019-05-22,"KITCHENER, N2G 1H6, CA"
2018 Cannondale Bad Boy 2,MC19380,BLACK,2019-02-04,"WATERLOO, N2V 2Y5, CA"
2014 Kona PROCESS 134 DL,H4JH24594,BLACK AND YELLOW OR GOLD,2019-01-08,"KITCHENER, N2M1V4, CA"
Miyata,UNKNOWN,BLACK,2018-11-08,"KITCHENER, N2G 2S8, CA"
2017 Northrock CTM CROSS-TERRAIN,UNKNOWN,BLACK,2018-10-25,"KITCHNER, N2H 2H1, CA"
2017 Kona Dew,AJ50702221,BLACK,2018-10-06,"KITCHENER, N2H3K5, CA"
2017 Kona Dew,B17DWB52,BLACK,2018-09-22,"WATERLOO, N2L 1W4, CA"
2015 Giant,C23D8063,"SILVER, GRAY OR BARE METAL, PURPLE, AND BLACK",2018-09-15,"WATERLOO, N2L 3C5, CA"
2009 Norco Bikes Team DH,ACN:087 464 702,"SILVER, GRAY OR BARE METAL",2018-09-12,"WATERLOO, N2L 3G1, CA"
2014 Devinci JACK RC,AA30343303,BLACK,2018-08-28,"KITCHENER, N2H 1P1, CA"
Trek 4300,UNKNOWN,YELLOW OR GOLD,2018-08-17,"WATERLOO, N2H 2J2, CA"
Cult Gateway,T14G09532,RED,2018-05-17,"KITCHENER, N2G4V1, CA"
Schwinn Men's Sanctuary 7 cruiser bike 26-in,YA60409256,BLUE AND WHITE,2017-12-02,"KITCHENER, N2C 1A5, CA"
2016 Specialized Crave,WSBC602273693L,"BLACK, ORANGE, AND BLUE",2017-11-11,"WATERLOO, CA"
2018 Giant Talon 3,C7CC0069,BLACK AND RED,2017-10-19,"WATERLOO, N2J1A4, CA"
2017 GT Bicycles Vantara Comp Men's Gunmetal 700C Urban Bike,CM146542860,BLACK AND RED,2017-10-09,"WATERLOO, ONTARIO, N2J 4B6, CA"
2013 Haro Demon,EY151002266,RED AND WHITE,2017-10-05,"KITCHENER, CA"
2008 Specialized Hardrock Comp Disc,P7JAI0249,ORANGE,2017-08-26,"WATERLOO, CA"
2014 Trek 7.0 FX Stagger,WTU339C5306H,GREEN,2017-05-27,"KITCHENER, N2G 0B5, CA"
Iron Horse Bicycles 3.0,UNKNOWN,"SILVER, GRAY OR BARE METAL",2016-11-01,"WATERLOO, N2L 3H6, CA"
2005 Trek 4500,TBI-0406C94DS727,"BLACK, BLUE, AND RED",2016-10-18,"KITCHENER, N2G 1Y6, CA"
2015 Norco Bikes Storm 7.3 20 inch,AJ40178968,BLACK,2016-10-15,"WATERLOO, CA"
2015 Jamis Helix,Y14L007250,"SILVER, GRAY OR BARE METAL",2016-10-05,"WATERLOO, N2L 3G6, CA"
2016 Diadora Modena,Y15K002088,WHITE,2016-09-26,"WATERLOO, N2L 3X9, CA"
"2015 Fuji 21""",WBD228L2509K,BLACK,2016-09-09,"KITCHENER, CA"
2016 Linus Rambler,L4E1203996,BLACK,2016-08-12,"WATERLOO, CA, CA"
2015 Norco Bikes Storm Forma,32NCX5F0094,BLACK AND PINK,2016-07-15,"SUNVIEW ST, N2L 3V6, CA"
2008 Devinci,S87381902,GREEN,2016-07-12,"WATERLOO, N2T 2M1, US"
2013 Giant Rove 3,C13S5614,BLUE,2016-07-10,"WATERLOO, N2L6P4, US"
2016 GT Bicycles Karakaram Sport,CM15H520026,BLACK,2016-07-02,"KITCHENER, CA"
2016 Norco Bikes Storm 7,UNKNOWN,BLACK,2016-05-14,"KITCHENER, N2E 1A4, CA"
2013 Specialized Epic Comp Carbon 29,WSBC604176698H,BLACK,2016-03-22,"KITCHENER, N2P 2M6, CA"
2015 MEC ACE Kids Mountain Bike,ICM13800445,BLACK,2015-10-02,"ONTARIO, CA MARGARET & LOUISA, CA"
2014 Trek 8.2 DS,WTU272C0801H,"SILVER, GRAY OR BARE METAL",2015-05-08,"WATERLOO, N2L 3V5, CA"
2013 Specialized S-Works Enduro Carbon 26,WSBC604186292H,BLACK AND RED,2015-04-26,"KITCHENER, N2A 4L4, CA"
1972 Sekine,UNKNOWN,GREEN,2013-06-19,"KITCHENER, N2G 4Z9, CA"
"2011 Specialized Stumperjumper, FSR Carbon Pro",UNKNOWN,YELLOW OR GOLD AND BLACK,2012-09-23,"WATERLOO, N2J 1A1, CA"
2009 Specialized StumpJumper S-Works Safire,UNKNOWN,"WHITE, BLUE, AND BLACK",2012-09-23,"WATERLOO, N2J 1A1, CA"
2009 LeMond Racing Cycles Tourmalet,WTU002SA0047C,BLACK AND WHITE,2012-07-17,"WATERLOO, N2L3Y7, CA"
2011 CCM Nevada,L1C0209348,WHITE,2012-06-23,"KITCHENER, N2B2L3, CA"
2012 Kona Cinder Cone,F1107K2721,BLUE AND WHITE,2012-05-30,"WATERLOO, N2L3G1, CA"
2007 Trek 7.3 FX,WTU074C1839B,BLACK,2012-04-27,"WATERLOO, N2L3G1, CA"
2008 Jamis Durango,U7XK07267,BLACK,2012-04-13,"KITCHENER, N2A2G6, CA"
2011 Reebok Oregon,884701387680,BLACK AND RED,2011-06-21,"KITCHENER, N2C 2L8, CA"
2009 Diamondback Kilimanjaro,R007182557,YELLOW OR GOLD,2011-06-06,"KITCHENER, N2G 1Z4, CA"
2003 Schwinn Bike Trailer,UNKNOWN,BLUE AND BLACK,2011-05-25,"KITCHENER, N2B2L3, CA"
2003 Norco Bikes Wolverine,UNKNOWN,"SILVER, GRAY OR BARE METAL",2010-06-15,"WATERLOO, N2L 3G1, CA"
2009 Norco Bikes Pinnacle,SA80661435,RED,2009-10-21,"KITCHENER, N2M, CA"
Norco Bikes Katmandu,UNKNOWN,BLACK,2009-06-23,"WATERLOO, N2L, CA"
2008 Brodie Quantum,4080113457,GREEN,2008-12-01,"WATERLOO, N2L 2Y, CA"
Pro,UNKNOWN,"SILVER, GRAY OR BARE METAL",2008-11-03,"WATERLOO, N2J 1T7, CA"
2007 Specialized HardRock Sport Disk,P6F26976,"SILVER, GRAY OR BARE METAL",2008-04-06,"WATERLOO, CA N2L6E, CA"
